127.0.0.1 - - [26/Mar/2018:13:20:54 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:20:56 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:20:57 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:20:57 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:20:57 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:20:57 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:20:57 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:21:00 +0530] "GET /bridgeware/getallnotifications HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:21:01 +0530] "GET /bridgeware/getnotificationnumber HTTP/1.1" 500 6319
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:21:02 +0530] "GET /project2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:21:03 +0530] "GET /bridgeware/seeusers HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:21:11 +0530] "POST /bridgeware/loginuser HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:21:11 +0530] "GET /bridgeware/getnotificationnumber HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:21:11 +0530] "GET /project2/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:24 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:25 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:28 +0530] "GET /project2/app.js HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:28 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:28 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:28 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:28 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:41 +0530] "GET /project2/suggestedusers.html HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [26/Mar/2018:13:22:41 +0530] "GET /bridgeware/currentuser HTTP/1.1" 200 146
