127.0.0.1 - - [12/Mar/2018:13:54:09 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Mar/2018:13:54:11 +0530] "GET /project2/index.html HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [12/Mar/2018:13:54:12 +0530] "GET /project2/app.js HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [12/Mar/2018:13:54:12 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:13:54:12 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [12/Mar/2018:13:54:12 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:13:54:12 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:43 +0530] "GET /project2/index.html HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:45 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:48 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:48 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:48 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:48 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:48 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:51 +0530] "GET /project2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:52 +0530] "GET /bridgeware/currentuser HTTP/1.1" 500 5370
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:02:52 +0530] "GET /bridgeware/seeusers HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:10 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:11 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:11 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:11 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:11 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:11 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:11 +0530] "GET /project2/login.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:11 +0530] "GET /bridgeware/currentuser HTTP/1.1" 500 5370
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:20 +0530] "POST /bridgeware/loginuser HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:23 +0530] "GET /project2/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:28 +0530] "GET /project2/seeallblogs.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:29 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:31 +0530] "GET /project2/displayblog.html HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:31 +0530] "GET /bridgeware/display/23 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:04:35 +0530] "GET /bridgeware/display/6 HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:14 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /project2/seeallblogs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:16 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:20:19 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:48:58 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:48:59 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/Controller/Usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:49:07 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 200 598
